time,dt,error,p,i,d
1763500374.0646033,0.058492422103881836,[-0.20034857  0.178125  ],[-0.12020914  0.106875  ],[ 1.10749959 -0.14004558],[0.33062906 0.78727302]
1763500374.1222372,0.05763387680053711,[-0.19359202  0.1960859 ],[-0.11615521  0.11765154],[ 1.08406893 -0.11631308],[0.25791076 0.68560329]
1763500374.1807425,0.05850529670715332,[-0.19093752  0.2       ],[-0.11456251  0.12      ],[ 1.06061013 -0.09174086],[0.09981849 0.14718367]
1763500374.2388034,0.05806088447570801,[-0.18799281  0.20625   ],[-0.11279569  0.12375   ],[ 1.03768857 -0.06659324],[0.11157869 0.23682037]
1763500374.2963645,0.05756115913391113,[-0.18695469  0.20205606],[-0.11217281  0.12123363],[ 1.01508978 -0.04216902],[ 0.03967726 -0.16029336]
1763500374.3538866,0.05752205848693848,[-0.18952408  0.19510326],[-0.11371445  0.11706196],[ 0.99219597 -0.01860126],[-0.09826937 -0.26591795]
1763500374.4123986,0.058511972427368164,[-0.19140625  0.1875    ],[-0.11484375  0.1125    ],[0.9686769  0.00443783],[-0.07076804 -0.2858762 ]
1763500374.470583,0.05818438529968262,[-0.19741378  0.16467314],[-0.11844827  0.09880388],[0.94455546 0.02455878],[-0.22714964 -0.86310265]
1763500374.5289028,0.058319807052612305,[-0.20653434  0.14174808],[-0.1239206   0.08504885],[0.91926087 0.04191889],[-0.34405517 -0.86480275]
1763500374.5869567,0.05805397033691406,[-0.22008805  0.10860717],[-0.13205283  0.0651643 ],[0.8924292  0.05515956],[-0.51362848 -1.25590049]
1763500374.6456356,0.05867886543273926,[-0.22828627  0.09354038],[-0.13697176  0.05612423],[0.86429849 0.06668613],[-0.3073691  -0.56488689]
1763500374.7038193,0.05818367004394531,[-0.23027034  0.06145833],[-0.1381622  0.036875 ],[0.83616274 0.07419546],[-0.07502032 -1.21306387]
1763500374.7621415,0.05832219123840332,[-0.22914038  0.02247486],[-0.13748423  0.01348492],[0.80809841 0.0769481 ],[ 0.04262381 -1.47051469]
