time,dt,error,p,i,d
1763500391.609396,0.05931520462036133,[ 0.00289931 -0.03719908],[ 0.00173959 -0.02231945],[ 0.1454683  -0.26295356],[-0.00028121  0.01105014]
1763500391.6685019,0.059105873107910156,[ 0.00290728 -0.03724384],[ 0.00174437 -0.02234631],[ 0.14582915 -0.26757635],[ 0.0002964  -0.00166599]
1763500391.7245302,0.05602836608886719,[ 0.00259252 -0.03787244],[ 0.00155551 -0.02272346],[ 0.14613419 -0.2720324 ],[-0.01235932 -0.02468244]
1763500391.7813346,0.05680441856384277,[ 0.00290728 -0.03724384],[ 0.00174437 -0.02234631],[ 0.14648099 -0.2764752 ],[0.01219047 0.02434523]
1763500391.839296,0.057961463928222656,[ 0.00290651 -0.03649851],[ 0.00174391 -0.02189911],[ 0.14683477 -0.28091776],[-2.89583230e-05  2.82898684e-02]
1763500391.8985221,0.059226036071777344,[ 0.00277882 -0.03652198],[ 0.00166729 -0.02191319],[ 0.14718039 -0.28546017],[-0.00474341 -0.00087146]
1763500391.955722,0.057199954986572266,[ 0.00301509 -0.03715541],[ 0.00180905 -0.02229324],[ 0.14754256 -0.28992327],[ 0.00908742 -0.02436273]
1763500392.0134597,0.05773758888244629,[ 0.00277882 -0.03652198],[ 0.00166729 -0.02191319],[ 0.14787949 -0.29435152],[-0.0090028   0.02413587]
1763500392.071312,0.05785226821899414,[ 0.00301509 -0.03715541],[ 0.00180905 -0.02229324],[ 0.14824579 -0.29886553],[ 0.00898496 -0.02408803]
1763500392.1276312,0.056319236755371094,[ 0.00261025 -0.03730043],[ 0.00156615 -0.02238026],[ 0.14855451 -0.30327706],[-0.01581407 -0.005665  ]
1763500392.1859326,0.058301448822021484,[ 0.00296817 -0.03866119],[ 0.0017809  -0.02319672],[ 0.14891791 -0.30801047],[ 0.01350585 -0.05134839]
1763500392.2453413,0.05940866470336914,[ 0.00314164 -0.03792108],[ 0.00188498 -0.02275265],[ 0.14930985 -0.31274143],[0.006424   0.02740766]
1763500392.3050234,0.05968213081359863,[ 0.00290098 -0.03724505],[ 0.00174059 -0.02234703],[ 0.14967344 -0.31740945],[-0.00887119  0.02491971]
1763500392.3637903,0.058766841888427734,[ 0.00280361 -0.0375857 ],[ 0.00168217 -0.02255142],[ 0.15001944 -0.32204791],[-0.00364516 -0.01275269]
1763500392.4230165,0.059226274490356445,[ 0.00264139 -0.03685519],[ 0.00158484 -0.02211311],[ 0.15034796 -0.32663179],[-0.00602577  0.02713546]
1763500392.4822187,0.05920219421386719,[ 0.00290728 -0.03724384],[ 0.00174437 -0.02234631],[ 0.1507094  -0.33126211],[ 0.00988047 -0.01444269]
1763500392.5412312,0.059012413024902344,[ 0.00277882 -0.03652198],[ 0.00166729 -0.02191319],[ 0.15105377 -0.33578814],[-0.00478902  0.02691145]
1763500392.60069,0.05945873260498047,[ 0.00257125 -0.0366113 ],[ 0.00154275 -0.02196678],[ 0.15137483 -0.34035955],[-0.00768008 -0.00330516]
1763500392.6594923,0.05880236625671387,[ 0.00262785 -0.036553  ],[ 0.00157671 -0.0219318 ],[ 0.15169933 -0.34487329],[0.00211762 0.00218125]
1763500392.718088,0.05859565734863281,[ 0.00170918 -0.03493907],[ 0.00102551 -0.02096344],[ 0.15190964 -0.34917258],[-0.03449204  0.0605959 ]
1763500392.776678,0.05859017372131348,[ 0.00178938 -0.03438574],[ 0.00107363 -0.02063145],[ 0.15212981 -0.35340338],[0.00301158 0.02077666]
1763500392.8353386,0.05866050720214844,[ 0.00022774 -0.03005212],[ 0.00013664 -0.01803127],[ 0.15215786 -0.35710541],[-0.05856771  0.16252794]
1763500392.8944068,0.05906820297241211,[-0.0019412  -0.02622817],[-0.00116472 -0.0157369 ],[ 0.15191707 -0.36035884],[-0.0807824   0.14242325]
1763500392.953246,0.05883932113647461,[-0.00287967 -0.02550039],[-0.0017278  -0.01530024],[ 0.15156125 -0.36350973],[-0.0350891   0.02721169]
1763500393.010092,0.056845903396606445,[-0.00565138 -0.02134288],[-0.00339083 -0.01280573],[ 0.15088661 -0.36605757],[-0.10726833  0.16090034]
1763500393.0685933,0.058501243591308594,[-0.00882359 -0.01608696],[-0.00529415 -0.00965218],[ 0.14980261 -0.36803389],[-0.11929413  0.19765439]
1763500393.1263165,0.057723283767700195,[-0.01129556 -0.01169704],[-0.00677733 -0.00701822],[ 0.14843337 -0.36945179],[-0.09421393  0.16731252]
1763500393.1840477,0.05773115158081055,[-0.01495862 -0.00456495],[-0.00897517 -0.00273897],[ 0.14661986 -0.37000523],[-0.13959082  0.27178719]
1763500393.240243,0.05619525909423828,[-0.01612334 -0.00321665],[-0.00967401 -0.00192999],[ 0.14471714 -0.37038482],[-0.04559796  0.05278507]
